"","ANONID","SUBJECT","CATALOG_NBR","GRD_PTS_PER_UNIT","GPAO","DIV","ANON_INSTR_ID","TERM"
"189",21323,"BIOLOGY",105,3.7,3.154545455,"S",1614,107
"190",21530,"BIOLOGY",105,4,3.417021277,"S",1614,93
"191",21590,"BIOLOGY",105,3,3.05625,"S",1614,110
"192",21600,"BIOLOGY",105,4,3.869333333,"S",1614,93
"193",21682,"BIOLOGY",105,4,3.5625,"S",4392,114
"194",21988,"BIOLOGY",105,3,2.811904762,"S",1614,98
"195",22006,"BIOLOGY",105,3,2.948148148,"S",1614,88
"196",22061,"BIOLOGY",105,2.7,2.708695652,"S",1614,98
"197",22067,"BIOLOGY",105,4,3.914285714,"S",1614,93
"198",22070,"BIOLOGY",105,4,3.766666667,"S",1614,102
"199",22214,"BIOLOGY",105,4,3.263414634,"S",1614,93
"200",22453,"BIOLOGY",105,3.3,3.288888889,"S",1614,78
"201",22516,"BIOLOGY",105,2,2.222222222,"S",1614,110
"202",22638,"BIOLOGY",105,3.7,2.85,"S",1614,88
"203",22693,"BIOLOGY",105,2.3,2.595,"S",1614,102
"204",22974,"BIOLOGY",105,2.7,2.558974359,"S",1614,78
"205",23033,"BIOLOGY",105,3,3.1,"S",4392,114
"206",23064,"BIOLOGY",105,2.7,2.268518519,"S",1614,102
"207",23225,"BIOLOGY",105,0,2.541025641,"S",1614,107
"208",23400,"BIOLOGY",105,4,3.520909091,"S",1614,110
"209",23409,"BIOLOGY",105,4,3.907692308,"S",4392,114
"210",23622,"BIOLOGY",105,4,3.468932039,"S",4392,114
"211",23662,"BIOLOGY",105,3,2.794871795,"S",1614,118
"212",23764,"BIOLOGY",105,3,3.380701754,"S",1614,107
"213",23845,"BIOLOGY",105,2,2.473684211,"S",4392,114
"214",24080,"BIOLOGY",105,3,2.933333333,"S",1614,102
"215",24167,"BIOLOGY",105,4,3.786746988,"S",1614,118
"216",24323,"BIOLOGY",105,3.7,3.696808511,"S",1614,98
"217",24547,"BIOLOGY",105,3.7,3.743589744,"S",1614,93
"218",24703,"BIOLOGY",105,4,3.24,"S",1614,110
"219",24766,"BIOLOGY",105,3.7,3.313043478,"S",1614,102
"220",24823,"BIOLOGY",105,4,3.554545455,"S",1614,102
"221",25077,"BIOLOGY",105,3,2.959090909,"S",1614,110
"222",25212,"BIOLOGY",105,3.7,3.518181818,"S",1614,88
"223",25224,"BIOLOGY",105,3,3.055102041,"S",1614,118
"224",25238,"BIOLOGY",105,3.3,2.94,"S",1614,88
"225",25429,"BIOLOGY",105,4,3.491588785,"S",3604,73
"226",25440,"BIOLOGY",105,3.7,3.547457627,"S",1614,102
"227",25600,"BIOLOGY",105,3.7,3.735714286,"S",1614,88
"228",25631,"BIOLOGY",105,4,3.66,"S",1614,98
"229",25789,"BIOLOGY",105,3,2.994230769,"S",1614,93
"230",25791,"BIOLOGY",105,3,3.150943396,"S",1614,88
"231",25800,"BIOLOGY",105,4,3.816216216,"S",1614,107
"232",25852,"BIOLOGY",105,4,3.701333333,"S",1614,93
"233",25854,"BIOLOGY",105,3.7,3.424,"S",1614,118
"234",25911,"BIOLOGY",105,4,3.422772277,"S",1614,78
"235",25912,"BIOLOGY",105,3,2.901538462,"S",1614,98
"236",26076,"BIOLOGY",105,4,3.353571429,"S",1614,98
"237",26229,"BIOLOGY",105,3.3,3.571875,"S",1614,88
"238",26590,"BIOLOGY",105,3,3.11627907,"S",1614,78
"239",26628,"BIOLOGY",105,3,3.587,"S",4392,114
"240",26702,"BIOLOGY",105,4,3.715662651,"S",1614,93
"241",26719,"BIOLOGY",105,3,2.794871795,"S",1614,93
"242",26915,"BIOLOGY",105,3.7,3.916176471,"S",1614,93
"243",26942,"BIOLOGY",105,4,4,"S",1614,110
"244",27010,"BIOLOGY",105,3,3.242857143,"S",1614,88
"245",27206,"BIOLOGY",105,3.7,3.061038961,"S",1614,93
"246",27720,"BIOLOGY",105,4,3.660294118,"S",1614,98
"247",27731,"BIOLOGY",105,4,3.353521127,"S",1614,110
"248",27746,"BIOLOGY",105,4,3.259259259,"S",1614,110
"249",27920,"BIOLOGY",105,3.7,3.230434783,"S",1614,102
"250",28047,"BIOLOGY",105,4,3.766666667,"S",1614,107
"251",28168,"BIOLOGY",105,3,3.412068966,"S",1614,110
"252",28280,"BIOLOGY",105,3.3,3.615384615,"S",1614,88
"253",28320,"BIOLOGY",105,3,3.313043478,"S",1614,110
"254",28419,"BIOLOGY",105,3.7,3.418367347,"S",1614,78
"255",28422,"BIOLOGY",105,3.3,2.762264151,"S",1614,98
"256",28563,"BIOLOGY",105,4,3.373913043,"S",4392,114
"257",28868,"BIOLOGY",105,3.7,3.25483871,"S",1614,88
"258",28917,"BIOLOGY",105,3,3.434210526,"S",4392,114
"259",29256,"BIOLOGY",105,3,2.878571429,"S",1614,110
"260",29264,"BIOLOGY",105,3,2.948181818,"S",1614,93
"261",29596,"BIOLOGY",105,3,3.052941176,"S",1614,107
"262",29712,"BIOLOGY",105,3.7,3.407142857,"S",1614,88
"263",29755,"BIOLOGY",105,3,2.8,"S",1614,93
"264",29915,"BIOLOGY",105,3.7,3.401526718,"S",1614,93
"265",30080,"BIOLOGY",105,4,3.613888889,"S",1614,93
"266",30142,"BIOLOGY",105,2,2,"S",1614,102
"267",30149,"BIOLOGY",105,2.7,2.948181818,"S",1614,93
"268",30421,"BIOLOGY",105,3.3,3.307142857,"S",4392,114
"269",30509,"BIOLOGY",105,2,1.932432432,"S",1614,118
"270",30577,"BIOLOGY",105,4,3.419607843,"S",1614,102
"271",30691,"BIOLOGY",105,3.3,3.1,"S",1614,93
"272",30782,"BIOLOGY",105,3.7,3.372413793,"S",4392,114
"273",30932,"BIOLOGY",105,2.7,2.302941176,"S",1614,110
"274",31567,"BIOLOGY",105,3,2.690909091,"S",1614,102
"275",31593,"BIOLOGY",105,2.7,2.7,"S",1614,102
"276",31819,"BIOLOGY",105,3.3,3.353521127,"S",1614,88
"277",32296,"BIOLOGY",105,3,2.646666667,"S",1614,102
"278",32681,"BIOLOGY",105,3.7,3.513235294,"S",1614,107
"279",32727,"BIOLOGY",105,3.7,2.83,"S",1614,98
"280",32874,"BIOLOGY",105,3.7,3.248648649,"S",1614,78
"281",33054,"BIOLOGY",105,4,3.268493151,"S",1614,93
"282",33126,"BIOLOGY",105,4,3.033333333,"S",1614,110
"283",33216,"BIOLOGY",105,3.3,3.433802817,"S",1614,78
"284",33269,"BIOLOGY",105,3,2.6,"S",1614,98
"285",33332,"BIOLOGY",105,3,3.045454545,"S",4392,114
"286",33460,"BIOLOGY",105,2.7,2.9875,"S",1614,88
"287",33721,"BIOLOGY",105,4,3.272727273,"S",1614,102
"288",33789,"BIOLOGY",105,3.7,3.361,"S",1614,107
"289",33936,"BIOLOGY",105,2.7,2.152941176,"S",1614,118
"290",34185,"BIOLOGY",105,3,3.307142857,"S",1614,93
"291",34715,"BIOLOGY",105,3.3,3.328767123,"S",1614,102
"292",34762,"BIOLOGY",105,3,2.858695652,"S",4392,114
"293",34959,"BIOLOGY",105,3,3.098648649,"S",1614,98
"294",35036,"BIOLOGY",105,3.7,3.660294118,"S",1614,118
"295",35089,"BIOLOGY",105,2.7,3.065853659,"S",1614,102
"296",35372,"BIOLOGY",105,3,2.496428571,"S",3604,73
"297",35442,"BIOLOGY",105,3,2.855384615,"S",1614,102
"298",35475,"BIOLOGY",105,4,3.725925926,"S",1614,110
"299",35573,"BIOLOGY",105,3,3.281308411,"S",1614,88
"300",35627,"BIOLOGY",105,3.7,3.307142857,"S",1614,118
"301",35841,"BIOLOGY",105,3,2.913559322,"S",1614,78
"302",35982,"BIOLOGY",105,2.7,2.629113924,"S",1614,102
"303",36023,"BIOLOGY",105,4,3.85,"S",3604,73
"304",36121,"BIOLOGY",105,3,2.838235294,"S",1614,110
"305",36124,"BIOLOGY",105,3,3.142528736,"S",1614,93
"306",36374,"BIOLOGY",105,3,3.368085106,"S",1614,88
"307",36384,"BIOLOGY",105,3.7,3.628571429,"S",1614,107
"308",36504,"BIOLOGY",105,4,3.518181818,"S",1614,98
"309",36810,"BIOLOGY",105,4,3.543877551,"S",4392,114
"310",36903,"BIOLOGY",105,2.7,2.789473684,"S",1614,93
"311",36932,"BIOLOGY",105,3,3.516129032,"S",1614,110
"312",37012,"BIOLOGY",105,1.7,2.571111111,"S",1614,88
"313",37172,"BIOLOGY",105,3,3.12,"S",1614,107
"314",37279,"BIOLOGY",105,3.7,3.692307692,"S",3604,73
"315",37289,"BIOLOGY",105,4,3.803448276,"S",1614,118
"316",37347,"BIOLOGY",105,3.7,3.566666667,"S",1614,88
"317",37468,"BIOLOGY",105,3.7,3.443842365,"S",1614,98
"318",37476,"BIOLOGY",105,3,3.076666667,"S",1614,107
"319",37482,"BIOLOGY",105,4,3.42173913,"S",1614,102
"320",37545,"BIOLOGY",105,4,3.473809524,"S",1614,93
"321",37735,"BIOLOGY",105,3,3.118823529,"S",1614,118
"322",37793,"BIOLOGY",105,4,3.291891892,"S",4392,114
"323",37882,"BIOLOGY",105,3.3,2.913559322,"S",1614,98
"324",37895,"BIOLOGY",105,3.7,3.588235294,"S",1614,102
"325",37898,"BIOLOGY",105,2.3,2.213580247,"S",4392,114
"326",37944,"BIOLOGY",105,3,2.7,"S",1614,110
"327",38063,"BIOLOGY",105,2.7,2.386538462,"S",1614,118
"328",38298,"BIOLOGY",105,3.3,3.3,"S",1614,110
"329",38372,"BIOLOGY",105,3,3.188888889,"S",1614,78
"330",38503,"BIOLOGY",105,3,2.607894737,"S",1614,110
"331",38606,"BIOLOGY",105,4,3.282828283,"S",1614,93
"332",38668,"BIOLOGY",105,4,3.30989011,"S",1614,88
"333",38763,"BIOLOGY",105,4,3.4,"S",1614,102
"334",38791,"BIOLOGY",105,4,3.47804878,"S",1614,93
"335",38962,"BIOLOGY",105,3,2.98245614,"S",1614,88
"336",39057,"BIOLOGY",105,3,3.213978495,"S",1614,78
"337",39087,"BIOLOGY",105,4,4,"S",1614,102
"338",39197,"BIOLOGY",105,3,3.274324324,"S",1614,110
"339",39305,"BIOLOGY",105,3.3,3.447619048,"S",1614,88
"340",39375,"BIOLOGY",105,3,3.333333333,"S",1614,110
"341",39400,"BIOLOGY",105,3,3.489795918,"S",4392,114
"342",39567,"BIOLOGY",105,4,3.325,"S",1614,107
"343",39894,"BIOLOGY",105,3.7,3.490909091,"S",1614,88
"344",39992,"BIOLOGY",105,3,3.522222222,"S",1614,93
"345",40118,"BIOLOGY",105,4,3.652777778,"S",1614,118
"346",40384,"BIOLOGY",105,3,2.869047619,"S",1614,110
"347",40495,"BIOLOGY",105,2.7,2.732478632,"S",1614,98
"348",40632,"BIOLOGY",105,3.3,3.256818182,"S",1614,118
"349",40672,"BIOLOGY",105,4,3.376923077,"S",1614,102
"350",40675,"BIOLOGY",105,3.7,3.592682927,"S",1614,93
"351",40731,"BIOLOGY",105,4,3.868292683,"S",1614,93
"352",40874,"BIOLOGY",105,0,2.878947368,"S",1614,102
"353",40992,"BIOLOGY",105,4,3.723809524,"S",1614,110
"354",41010,"BIOLOGY",105,4,3.712396694,"S",1614,98
"355",41051,"BIOLOGY",105,3.7,3.5308,"S",1614,93
"356",41081,"BIOLOGY",105,4,3.333333333,"S",1614,98
"357",41498,"BIOLOGY",105,4,3.306382979,"S",1614,78
"358",41555,"BIOLOGY",105,4,2.846268657,"S",1614,110
"359",41863,"BIOLOGY",105,4,3.456790123,"S",1614,118
"360",41936,"BIOLOGY",105,3,2.78,"S",1614,93
"361",42031,"BIOLOGY",105,3.7,3.2,"S",1614,110
"362",42086,"BIOLOGY",105,3.7,3.014285714,"S",1614,107
"363",42096,"BIOLOGY",105,3,2.818181818,"S",1614,107
"364",42150,"BIOLOGY",105,4,3.885294118,"S",4392,114
"365",42372,"BIOLOGY",105,3.3,3.350526316,"S",1614,118
"366",42385,"BIOLOGY",105,3,3.283333333,"S",1614,98
"367",42439,"BIOLOGY",105,4,3.229268293,"S",1614,110
"368",42461,"BIOLOGY",105,3.3,3.588461538,"S",1614,102
"369",42603,"BIOLOGY",105,4,3.921428571,"S",1614,88
"370",42740,"BIOLOGY",105,4,4,"S",1614,110
"371",43001,"BIOLOGY",105,3,3.280508475,"S",1614,88
"372",43090,"BIOLOGY",105,4,3.890909091,"S",1614,88
"373",43139,"BIOLOGY",105,4,3.780582524,"S",1614,118
"374",43218,"BIOLOGY",105,4,3.156923077,"S",1614,88
"375",43346,"BIOLOGY",105,3,2.612,"S",1614,110
"376",43436,"BIOLOGY",105,2.7,1.932432432,"S",1614,78
"377",43568,"BIOLOGY",105,3,3.015517241,"S",1614,110
"378",43622,"BIOLOGY",105,2.7,2.4,"S",1614,110
"379",43658,"BIOLOGY",105,4,3.688235294,"S",1614,107
"380",43701,"BIOLOGY",105,0,4,"S",4392,114
"381",44075,"BIOLOGY",105,3,3.456557377,"S",3604,73
"382",44338,"BIOLOGY",105,2.7,3.354545455,"S",1614,98
"383",44566,"BIOLOGY",105,3,2.909090909,"S",1614,98
"384",44568,"BIOLOGY",105,3,2.390909091,"S",1614,93
"385",44717,"BIOLOGY",105,2,2.35,"S",1614,107
"386",44760,"BIOLOGY",105,3,3.242857143,"S",1614,107
"387",44785,"BIOLOGY",105,4,3.575609756,"S",1614,110
"388",44788,"BIOLOGY",105,3.7,3.666666667,"S",1614,110
"389",44848,"BIOLOGY",105,3,3.154545455,"S",1614,93
"390",44883,"BIOLOGY",105,4,3.883333333,"S",1614,98
"391",44961,"BIOLOGY",105,4,3.413235294,"S",1614,107
"392",45022,"BIOLOGY",105,4,3.836170213,"S",1614,102
"393",45039,"BIOLOGY",105,4,3.620512821,"S",1614,88
"394",45072,"BIOLOGY",105,0,2.572727273,"S",1614,107
"395",45106,"BIOLOGY",105,3,3.538709677,"S",1614,98
"396",45121,"BIOLOGY",105,3.7,3.180722892,"S",1614,93
"397",45183,"BIOLOGY",105,4,3.786746988,"S",1614,98
"398",45308,"BIOLOGY",105,3,2.886046512,"S",1614,110
"399",45488,"BIOLOGY",105,3,2.621551724,"S",1614,102
"400",45515,"BIOLOGY",105,0,2.155263158,"S",1614,118
"401",45796,"BIOLOGY",105,3,3.141428571,"S",1614,110
"402",45812,"BIOLOGY",105,4,3.5,"S",1614,93
"403",46012,"BIOLOGY",105,4,3.469512195,"S",1614,110
"404",46024,"BIOLOGY",105,4,3.638461538,"S",4392,114
"405",46175,"BIOLOGY",105,3.3,3.082926829,"S",1614,93
"406",46319,"BIOLOGY",105,3,3.325882353,"S",1614,98
"407",46405,"BIOLOGY",105,4,3.511805556,"S",1614,102
"408",46579,"BIOLOGY",105,3,3.065853659,"S",4392,114
"409",46744,"BIOLOGY",105,4,3.702083333,"S",1614,110
"410",46746,"BIOLOGY",105,3,2.706976744,"S",3604,73
"411",46775,"BIOLOGY",105,0,2.916842105,"S",1614,88
"412",46901,"BIOLOGY",105,2.7,2.35625,"S",1614,88
"413",46920,"BIOLOGY",105,4,3.496428571,"S",4392,114
"414",47000,"BIOLOGY",105,3,3.5,"S",1614,93
"415",47001,"BIOLOGY",105,3,3.246236559,"S",1614,102
"416",47182,"BIOLOGY",105,4,3.16031746,"S",1614,102
