"","st_id","female","ethniccode_cat","firstgen","international","transfer","lowincomeflag","numgrade","cum_prior_gpa","gpao","crs_name","crs_section","admit_gpa","n_section"
"51","269e",1,0,0,0,1,1,2,3.07,4,"BIO300",201903,3.45,575
"52","cb7a",1,0,1,0,1,0,0.7,2.65,0,"BIO300",201901,3.47,818
"53","d4af",0,0,0,0,0,0,1,2.88,2.52,"BIO300",201610,3.76,652
"54","a47e",1,2,0,0,1,0,3.3,3.16,3,"BIO300",201801,3.35,730
"55","fbf3",0,0,0,0,1,1,2,2.68,NA,"MATH100",201701,3.64,475
"56","85a0",0,0,0,0,1,0,1,NA,1.7,"BIO300",201910,3.5,642
"57","cdd2",1,2,1,1,0,0,4,3.58,3.62,"MATH100",201703,3.78,537
"58","d00d",1,1,1,0,1,1,2.3,2.71,2.08,"MATH100",201910,2.88,1005
"59","99a8",1,2,1,0,1,0,2.7,2.97,3.68,"EVOL305",201910,3,384
"60","ec6a",1,0,0,1,0,0,3,3.93,3.89,"MATH100",201910,3.88,1005
"61","a335",1,0,0,0,1,0,2.7,3.01,2.83,"MATH100",201610,2.83,908
"62","5bf8",1,2,0,1,0,0,4,3.54,4,"BIO300",201703,4.27,665
"63","6155",1,1,1,0,0,0,2,2.66,3.13,"BIO300",201701,4.16,624
"64","bb35",1,1,0,0,1,0,1.7,NA,3.7,"MATH100",201810,3.39,884
"65","9ec1",1,0,0,0,0,0,4,3.86,3.89,"BIO300",201703,4.3,665
"66","10ca",1,2,0,0,0,0,3,2.28,0.99,"MATH100",201703,4.24,537
"67","2f47",0,1,1,0,1,0,1.7,NA,2.47,"BIO300",201910,3.06,642
"68","1949",1,1,1,0,0,0,1.7,2.47,1.25,"MATH100",201703,4.07,537
"69","ea4b",1,0,1,0,1,0,1.3,3.3,3.36,"EVOL305",201803,3.24,268
"70","b00f",0,1,0,0,0,0,2.3,3.77,3.94,"MATH100",201701,3.95,475
"71","ccc9",1,1,0,0,0,1,3,3.26,3.57,"MATH100",201801,3.91,539
"72","aa24",0,1,1,0,1,1,3.7,3.44,3.56,"BIO300",201701,2.99,624
"73","df77",1,2,0,0,0,0,3,3.12,3.57,"BIO300",201710,4.13,599
"74","3034",1,0,0,0,0,0,3.7,3.16,3.67,"MATH100",201801,4.33,539
"75","b313",1,2,0,0,0,0,4,3.43,3.44,"BIO300",201810,4.3,664
"76","6046",0,0,0,0,0,0,3.3,3.17,2.58,"EVOL305",201803,4.16,268
"77","8371",1,2,0,0,1,0,3.3,NA,3.15,"MATH100",201710,3,935
"78","dbb2",1,2,0,0,0,0,1.7,2.78,2.7,"BIO300",201703,4.2,665
"79","3d1d",0,2,0,0,1,0,2.3,NA,2.69,"BIO300",201810,3.24,664
"80","784c",0,1,0,0,0,0,2.3,3.03,3.21,"BIO300",201803,4.12,749
"81","dc91",1,1,1,0,1,0,3,3.13,3.66,"MATH100",201701,3.47,475
"82","73f4",0,0,0,0,0,0,3.3,3.24,3.9,"EVOL305",201901,3.89,191
"83","3b8f",1,1,1,0,0,1,2.7,3,3.28,"EVOL305",201910,3.9,384
"84","088d",1,1,1,0,1,1,1,2.77,1,"MATH100",201701,3.24,475
"85","cd4d",1,1,0,0,0,0,3.3,3.31,3.34,"BIO300",201803,4.33,749
"86","da53",0,2,0,0,1,0,1,NA,2.92,"MATH100",201710,3.25,935
"87","31e1",1,0,0,0,0,0,3.7,3.84,4,"MATH100",201910,4.29,1005
"88","99a4",1,0,0,0,0,0,3.7,3.64,3.85,"MATH100",201903,4.03,456
"89","b296",0,2,1,0,0,0,3,3.14,3.55,"EVOL305",201610,3.92,173
"90","dbc0",0,2,1,0,1,1,1.7,2.34,1.69,"BIO300",201701,3.92,624
"91","f037",0,2,0,0,0,1,0,3.26,3.7,"EVOL305",201910,3.93,384
"92","187d",1,2,1,0,0,0,2.7,2.46,1.99,"MATH100",201803,4.31,584
"93","a6fa",1,1,1,0,0,1,2.7,3.13,3.39,"EVOL305",201801,4.11,233
"94","fd4b",0,0,0,0,1,1,4,3.09,3.44,"MATH100",201810,3.28,884
"95","926b",1,0,0,0,1,0,3,2.96,3.3,"BIO300",201803,3.93,749
"96","ee4b",1,2,1,0,0,1,1.7,2.72,2.91,"BIO300",201703,4.03,665
"97","cda4",1,2,0,0,0,0,4,3.46,4,"BIO300",201703,4.04,665
"98","57b1",1,1,1,0,1,1,3,NA,3.57,"MATH100",201810,3.22,884
"99","4fe4",1,2,0,1,0,0,4,3.93,3.29,"CHEM201",201710,3.9,119
"100","25cb",1,0,0,0,0,1,3.3,2.99,2,"MATH100",201903,4.25,456
"101","ae7c",1,2,1,0,0,0,2.3,2.71,2.69,"MATH100",201810,4.04,884
"102","15c8",0,0,0,0,0,0,4,3.59,3.89,"MATH100",201910,4.22,1005
"103","c6d0",1,2,0,0,0,0,4,3.85,4,"MATH100",201801,3.42,539
"104","2775",0,1,0,0,0,0,2.7,2.47,2.42,"EVOL305",201710,3.92,255
"105","f03a",1,1,1,0,1,0,2,2.73,2.3,"MATH100",201903,3.59,456
"106","6698",1,2,0,1,0,0,4,3.95,4,"MATH100",201610,3.75,908
"107","f32f",1,2,0,1,0,0,3,2.9,3.11,"BIO300",201903,3.76,575
"108","46c2",0,2,0,0,0,0,4,4,4,"MATH100",201901,4.26,575
"109","3820",0,1,1,0,0,1,4,2.99,3.34,"MATH100",201803,4.08,584
"110","9f04",1,0,0,0,0,0,3.3,3.81,3.54,"BIO300",201801,4.2,730
"111","c000",1,2,1,0,0,0,2.7,2.85,2.94,"MATH100",201910,3.69,1005
"112","9da7",1,0,0,0,0,0,3,3.48,3.82,"MATH100",201803,4.2,584
"113","556c",1,1,1,0,0,0,4,3.58,4,"EVOL305",201910,4.14,384
"114","6cba",1,0,1,0,0,0,3.7,3.63,3.99,"MATH100",201910,4.08,1005
"115","1411",1,2,1,0,0,0,3.7,3.8,3.85,"BIO300",201701,4.33,624
"116","7fdb",0,0,0,0,1,0,3.7,NA,4,"MATH100",201710,3.42,935
"117","7b5b",1,0,0,0,0,0,2.7,3.05,3.49,"MATH100",201910,4.25,1005
"118","f152",1,1,0,0,1,1,4,3.99,4,"EVOL305",201903,3.8,233
"119","bad3",1,2,1,0,0,1,4,3.96,4,"MATH100",201901,4.21,575
"120","ee0b",1,0,0,0,1,0,2.3,3.36,2.18,"EVOL305",201903,3.71,233
"121","c1bc",1,2,0,1,0,0,2.3,3.11,2.3,"MATH100",201903,3.45,456
"122","a03f",0,0,0,0,0,0,2.7,2.48,3.18,"EVOL305",201701,4.08,183
"123","87e9",0,1,0,0,0,0,2,2.41,2.35,"BIO300",201910,4.06,642
"124","74b5",1,0,0,0,0,0,2.7,3.31,4,"BIO300",201801,4.25,730
"125","2c63",1,2,0,0,0,0,4,3.72,3.89,"MATH100",201710,4.08,935
"126","d9c5",0,0,0,0,1,0,2.7,2.08,2,"EVOL305",201910,3.38,384
"127","df73",0,2,0,1,1,1,2.7,NA,2.48,"MATH100",201810,3.16,884
"128","ed03",1,2,1,0,0,1,4,3.53,3.69,"MATH100",201901,4.3,575
"129","31c6",1,2,0,1,0,0,2.3,3.25,3.5,"MATH100",201703,4.07,537
"130","ba1f",1,0,0,0,0,0,2.3,2.88,2.55,"MATH100",201610,4.09,908
"131","57ed",1,1,1,0,1,0,1,NA,2.15,"MATH100",201710,3.37,935
"132","8a64",1,1,0,0,0,0,3.7,3.55,2.92,"BIO300",201803,4.11,749
"133","a565",1,1,1,0,0,1,0,2.88,2.06,"MATH100",201810,4.11,884
"134","eda1",1,2,0,0,0,0,3,3.17,3.09,"EVOL305",201803,4,268
"135","b68b",1,1,0,0,0,0,3,3.22,3,"MATH100",201903,4.16,456
"136","42d9",1,0,0,0,0,0,4,3.98,4,"EVOL305",201910,4.15,384
"137","ed44",1,2,0,0,1,1,2.3,NA,2.3,"MATH100",201610,3.56,908
"138","21bc",1,2,0,1,0,1,4,3.88,4,"MATH100",201801,4.25,539
"139","4c2c",1,1,1,0,0,1,4,3.54,4,"CHEM201",201810,4.33,149
"140","b056",0,2,1,0,1,1,2.7,NA,2.86,"BIO300",201810,3.58,664
"141","fc53",1,2,0,0,0,0,3.3,3.64,3.3,"BIO300",201903,4.28,575
"142","9592",0,0,0,0,1,0,3.3,NA,3.53,"MATH100",201810,3.95,884
"143","a8d2",0,0,0,0,0,0,4,3.13,3.44,"BIO300",201701,4,624
"144","506e",1,0,0,0,1,0,1.7,2.88,3.5,"BIO300",201703,3.53,665
"145","1a43",0,2,1,0,1,0,3,3.8,3.99,"BIO300",201610,3.73,652
"146","e5de",1,2,1,0,1,1,3.7,NA,3.56,"MATH100",201610,3.81,908
"147","4c62",1,2,0,0,0,0,4,3.83,4,"MATH100",201903,4.34,456
"148","d409",0,2,0,0,0,0,4,3.97,3.86,"MATH100",201901,4.28,575
"149","66c0",0,0,1,0,0,0,3,2.87,2.75,"BIO300",201701,3.91,624
"150","44c2",1,2,0,0,0,0,3,3.8,4,"BIO300",201803,4.08,749
"151","48ee",1,1,1,1,1,0,2,NA,1.29,"MATH100",201710,3.32,935
"152","3e61",1,0,0,0,0,0,4,3.19,3.23,"BIO300",201910,4.16,642
"153","be54",1,2,1,0,0,1,4,3.11,2.99,"MATH100",201710,4.16,935
"154","ab81",1,0,0,0,0,0,4,3.88,4,"EVOL305",201810,4.09,321
"155","dfd5",0,2,1,0,0,1,3.7,2.26,2.51,"BIO300",201901,4,818
"156","1835",0,0,1,0,0,0,3,2.63,3.01,"MATH100",201810,4.03,884
"157","da87",1,2,1,0,0,0,3.7,2.6,3.89,"MATH100",201710,3.54,935
"158","22cb",1,0,0,0,0,0,3,3.12,3.49,"MATH100",201810,4.04,884
"159","b303",0,1,0,0,0,1,2,2.58,2.99,"EVOL305",201703,3.66,193
"160","34f7",1,2,1,1,1,0,2.7,3.33,3.99,"MATH100",201610,3.32,908
"161","1ea3",1,2,0,0,1,1,4,NA,3.47,"MATH100",201710,4,935
"162","c3a2",1,0,1,0,1,0,3,3.27,3.05,"MATH100",201901,3.84,575
"163","dcdb",1,0,0,0,0,0,4,3.76,3.64,"MATH100",201710,4.32,935
"164","14e3",1,1,1,1,0,0,2.3,2.89,3.54,"BIO300",201903,3.88,575
"165","a984",1,2,0,1,1,1,3.3,NA,3.61,"BIO300",201810,3.95,664
"166","ce14",1,0,0,0,1,0,4,3.15,2.99,"BIO300",201901,3.52,818
"167","333f",1,1,0,0,0,0,4,3.59,4,"EVOL305",201903,4.28,233
"168","6e49",1,2,0,0,0,0,4,3.34,3.34,"MATH100",201901,4,575
"169","b936",0,2,1,0,0,1,2.3,2.48,1.29,"BIO300",201901,3.89,818
"170","0d0e",1,0,1,0,0,0,1,2.47,2.65,"MATH100",201703,3.91,537
"171","a6d2",1,1,1,0,0,1,1.7,3.08,2.63,"MATH100",201810,4,884
"172","256a",1,2,0,0,1,0,3,NA,3.14,"MATH100",201610,3.04,908
"173","2e85",1,2,1,0,0,1,3,3.27,3.91,"BIO300",201610,4.04,652
"174","e72a",0,2,0,0,0,0,3.3,3.44,3.99,"MATH100",201610,4.31,908
"175","4c0c",1,0,1,0,0,0,3,2.84,2.64,"MATH100",201610,4.27,908
"176","7ca1",0,2,0,0,0,0,4,4,4,"MATH100",201910,4.3,1005
"177","ea52",1,1,1,0,0,1,2.7,2.79,3.58,"EVOL305",201801,3.95,233
"178","3109",1,2,0,0,0,0,1.7,2.64,2.57,"MATH100",201910,4.21,1005
"179","55f6",1,2,1,0,1,1,1.7,2.41,2.6,"BIO300",201701,3.24,624
"180","a0ae",1,0,0,0,0,0,2.7,2.58,2.91,"MATH100",201903,4,456
"181","1013",0,2,0,0,1,1,2.7,NA,2.99,"MATH100",201710,3.7,935
"182","1d07",1,1,1,0,0,1,3,3.45,3.38,"BIO300",201901,4.16,818
"183","bc14",1,1,1,0,0,1,0,2.44,1.98,"MATH100",201703,3.47,537
"184","6980",0,2,0,1,0,0,2,2.74,2.3,"CHEM201",201910,3.65,143
"185","6d3b",1,2,0,0,0,0,4,3.5,2.64,"MATH100",201710,4.18,935
"186","fd3f",0,2,0,0,0,0,3,3.67,2.85,"EVOL305",201810,4.08,321
"187","fa30",0,2,0,0,0,0,3.7,3.63,2.3,"MATH100",201610,3.96,908
"188","887f",0,0,1,0,1,0,4,3.83,3.76,"BIO300",201803,3.65,749
"189","6f93",0,2,0,0,1,0,3.7,3.27,3.34,"EVOL305",201703,3.82,193
"190","0f1a",1,2,1,0,1,1,2.3,2.81,3.28,"MATH100",201803,3.13,584
"191","f434",1,2,0,0,1,0,3,4,3.59,"BIO300",201610,3.59,652
"192","cb0f",1,0,1,0,0,0,3,3.2,3.36,"MATH100",201801,3.96,539
"193","2f8f",1,1,1,0,0,1,1.7,2.62,2.42,"MATH100",201910,4,1005
"194","e75f",0,0,0,0,1,0,2.3,2.83,3.18,"BIO300",201903,3.56,575
"195","9d5a",1,1,1,0,0,1,3,2.68,1.99,"MATH100",201710,4.28,935
"196","7378",0,2,1,0,0,0,3.3,3.21,2.99,"CHEM201",201610,4.13,155
"197","a85d",0,2,0,1,0,0,2.7,3.15,2,"BIO300",201901,4,818
"198","efd4",0,2,0,0,0,0,4,3.86,4,"BIO300",201701,3.69,624
"199","49a8",1,1,0,0,0,0,3.7,3.46,3.99,"BIO300",201803,3.9,749
"200","2289",0,2,0,0,0,0,3.7,3.94,4,"EVOL305",201901,4.31,191
"201","95bf",1,2,0,0,0,0,4,3.81,3.7,"BIO300",201903,4.09,575
"202","8b66",0,2,0,0,0,0,3.3,2.91,2.36,"BIO300",201801,4,730
"203","5938",0,1,0,0,0,0,0.7,2.52,1.72,"BIO300",201903,3.87,575
"204","42d8",1,0,0,0,0,0,1,2.33,1.9,"MATH100",201703,3.91,537
"205","ba95",1,2,0,1,0,0,2.7,3.07,2.06,"MATH100",201903,3.71,456
"206","4d34",0,1,0,0,1,0,4,4,4,"MATH100",201801,4,539
"207","7ba3",1,1,0,0,0,0,2.3,2.44,1.63,"BIO300",201710,3.85,599
"208","f5de",1,2,0,0,0,0,4,3.87,3.87,"MATH100",201910,4.18,1005
"209","9480",1,2,0,1,0,0,4,3.97,4,"CHEM201",201910,4.18,143
"210","c044",1,2,0,0,0,0,3,3.31,2.67,"MATH100",201803,4,584
"211","2ef7",1,1,1,1,1,1,0.7,2.38,3.91,"EVOL305",201803,2.96,268
"212","d559",0,1,1,0,0,1,3.3,3.01,2.36,"MATH100",201610,4.15,908
"213","63c9",0,2,0,0,0,0,3,2.42,2.43,"BIO300",201810,3.59,664
"214","2c01",1,1,1,1,1,0,3,3.04,3.68,"EVOL305",201703,3.38,193
"215","33b3",1,1,0,0,0,0,3,3.34,2.34,"MATH100",201801,4.31,539
"216","5b6f",0,0,0,0,1,0,2.3,NA,3.28,"MATH100",201610,3.76,908
"217","7d1c",1,2,1,0,0,0,0.7,3.05,2.22,"BIO300",201703,3.89,665
"218","22a0",0,0,0,0,0,0,3.7,3.54,3.37,"EVOL305",201710,4.23,255
"219","1821",1,1,1,0,0,0,2,2.52,3.07,"EVOL305",201703,4.04,193
"220","ac0c",0,2,0,0,0,0,3.3,2.91,2.54,"BIO300",201803,4.4,749
"221","b361",1,1,1,0,0,0,4,3.39,2.7,"MATH100",201801,3.72,539
"222","8b3c",0,2,1,0,1,1,3,2.84,2.57,"BIO300",201810,3.28,664
"223","e15c",1,0,0,0,0,0,3.3,2.98,3.33,"MATH100",201803,4.15,584
"224","57c5",1,0,0,0,0,0,2,3.07,3.2,"CHEM201",201610,4.26,155
"225","e640",1,2,0,0,1,1,2.7,NA,3.42,"MATH100",201910,3.11,1005
"226","dd1e",1,1,1,0,1,1,2.3,2.09,3.2,"MATH100",201801,3.77,539
"227","9ef7",0,2,1,0,0,0,4,3.53,4,"MATH100",201901,4.31,575
"228","fcc1",1,1,0,0,0,0,4,3.95,4,"EVOL305",201703,4.29,193
"229","adbd",1,2,0,0,1,0,3,3.19,3.5,"BIO300",201701,3.52,624
"230","7911",1,0,0,0,0,0,4,3.47,3.43,"BIO300",201701,4.1,624
"231","713f",1,2,1,0,0,0,3.7,3.51,3.99,"EVOL305",201610,4.05,173
"232","0e0d",1,2,1,0,1,0,2.7,2.58,3.33,"EVOL305",201810,3.26,321
"233","8246",1,2,1,0,0,1,2.3,2.91,3.55,"MATH100",201803,3.75,584
"234","6b3e",0,2,0,0,1,0,2.7,2.89,3.86,"BIO300",201703,3.72,665
"235","f394",1,2,0,0,0,0,3.3,3.53,3.9,"EVOL305",201801,4.15,233
"236","a1c9",1,1,1,0,0,1,3,3.02,2.57,"BIO300",201910,4.18,642
"237","6b9f",0,2,0,0,0,0,2,2.74,3.08,"BIO300",201903,4.09,575
"238","5b8d",1,2,0,0,0,0,3.7,3.25,3.14,"BIO300",201803,4,749
"239","fac6",0,0,0,0,0,0,2.3,3.78,2.98,"MATH100",201901,4.27,575
"240","09f9",1,0,0,0,0,0,1.7,2.91,3.1,"BIO300",201710,4.25,599
"241","9b72",0,2,0,0,0,0,4,3.66,3.81,"BIO300",201610,3.95,652
"242","a4fa",0,2,0,1,0,0,2.7,2.79,2.97,"BIO300",201701,3.61,624
"243","c129",0,1,0,0,0,0,0.7,3.35,2.85,"BIO300",201803,3.96,749
"244","8d81",1,1,0,0,1,1,1,2.93,2,"MATH100",201710,2.93,935
"245","f915",0,2,0,0,0,0,4,3.77,4,"BIO300",201703,4.3,665
"246","d7ff",0,1,1,0,1,0,1,1.9,2.28,"MATH100",201801,2.92,539
"247","ea79",1,1,1,0,0,0,1.7,3.2,2.62,"MATH100",201810,4.03,884
"248","418e",0,1,1,0,0,1,3,2.86,1.99,"BIO300",201710,3.9,599
"249","ea29",1,2,0,0,0,0,2.3,3.06,2.89,"BIO300",201610,4.18,652
"250","53e0",0,2,1,0,0,1,3.3,3.92,3.84,"BIO300",201801,4.33,730
"251","4e2f",0,2,1,1,1,0,4,NA,3.43,"BIO300",201810,3.76,664
"252","02ea",1,1,1,0,0,1,1.7,2.71,2.5,"MATH100",201903,3.65,456
"253","4343",1,1,0,0,0,0,2.7,2.71,4,"BIO300",201610,3.87,652
"254","07b1",1,2,0,0,1,0,2.3,NA,3.02,"MATH100",201610,2.9,908
"255","1468",1,2,1,0,1,1,3.7,3.38,2.99,"BIO300",201803,3.29,749
"256","2e39",0,0,0,0,0,0,2.7,2.98,3.49,"BIO300",201810,4.09,664
"257","3d03",1,1,1,0,1,0,1.3,2.82,2.23,"BIO300",201910,3.38,642
"258","a969",1,2,0,0,1,1,2.7,2.04,3.27,"BIO300",201910,3.52,642
"259","9cc6",0,1,0,0,0,1,2,3,2.52,"BIO300",201701,3.9,624
"260","5103",1,2,1,0,0,0,2,3.14,3.02,"BIO300",201810,4.27,664
"261","d11e",1,1,1,0,1,0,2.3,3.22,3.83,"BIO300",201703,3.66,665
"262","e1ab",1,2,0,0,1,0,2,NA,2.3,"MATH100",201710,2.79,935
"263","f976",1,2,0,0,0,0,3.7,2.89,3,"MATH100",201810,4.04,884
"264","6770",1,0,0,0,0,0,4,3.93,4,"BIO300",201803,4.36,749
"265","693e",1,0,0,0,0,0,3,3.7,3.7,"BIO300",201803,4.18,749
"266","7b12",0,1,1,0,0,1,2,3.09,3.65,"BIO300",201610,4.09,652
"267","9830",1,1,0,0,1,0,2.3,2.9,3.7,"MATH100",201710,3.41,935
"268","fe74",0,0,0,0,1,0,1.7,2.84,3.1,"MATH100",201703,3.58,537
"269","8002",1,2,0,0,0,0,3,2.51,1.99,"MATH100",201610,3.9,908
"270","a5b9",0,0,1,0,1,0,1.7,2.56,2.71,"EVOL305",201801,3.31,233
"271","4d4e",0,2,1,0,0,1,4,3.2,2.8,"EVOL305",201910,4.33,384
"272","c486",0,2,0,0,1,1,0,NA,3.77,"BIO300",201910,3.06,642
"273","bf14",0,2,0,0,0,1,2,2.98,3.55,"BIO300",201910,4.18,642
"274","f5aa",1,0,0,0,0,0,3.3,3.34,3.74,"BIO300",201801,4.25,730
"275","2e35",1,0,0,0,0,0,3.7,3.38,3.31,"BIO300",201910,4.03,642
"276","e2fb",1,2,0,0,0,0,3.7,3.46,3.85,"MATH100",201801,4,539
"277","fc6d",0,2,1,0,0,1,1.7,2.43,2.95,"BIO300",201703,3.95,665
"278","40a3",1,2,0,0,1,1,3,3.3,3.52,"BIO300",201801,3.37,730
"279","d90d",0,0,0,0,1,0,3,3.36,3.33,"EVOL305",201701,3.78,183
"280","b58a",0,0,0,0,0,0,3.3,3.89,3.9,"CHEM201",201810,4.07,149
"281","cc42",1,0,1,0,0,0,3.3,3.83,4,"BIO300",201803,4.36,749
"282","3dd7",0,2,1,0,1,0,2.3,2.65,2.82,"BIO300",201901,3.39,818
"283","2231",1,2,1,0,0,1,2.7,2.96,3.62,"EVOL305",201610,4.27,173
"284","e27f",0,1,0,0,1,0,2.3,NA,2.94,"BIO300",201910,3.43,642
"285","c150",1,2,1,0,0,0,3.3,3.3,3.33,"BIO300",201901,4.08,818
"286","47ee",1,2,0,0,0,0,3,2.94,3.82,"BIO300",201701,4,624
"287","7401",1,2,0,1,0,0,1.7,2.64,1.7,"EVOL305",201701,3.78,183
"288","52bd",1,0,1,0,0,0,2.3,2.81,3.6,"BIO300",201801,4,730
"289","4e0b",0,2,1,0,1,1,2,2.92,3.92,"BIO300",201801,3.15,730
"290","5074",1,2,0,1,0,0,4,3.82,4,"CHEM201",201610,3.88,155
"291","5847",1,2,1,0,0,1,1,2.62,3.33,"BIO300",201710,3.9,599
"292","1fe1",0,2,1,0,0,0,4,3.51,3.26,"BIO300",201801,4.33,730
"293","267b",1,1,1,0,0,1,2,2.95,1.34,"BIO300",201903,3.95,575
"294","03f4",0,1,1,0,1,1,3.3,NA,3.13,"BIO300",201610,3.5,652
"295","71ec",0,2,1,0,1,1,1,2.23,3.49,"BIO300",201810,2.94,664
"296","58b6",0,0,0,0,0,1,4,3.61,3.9,"MATH100",201801,4.12,539
"297","271a",0,2,0,0,0,0,4,3.3,2.41,"MATH100",201901,3.82,575
"298","8ef8",1,0,0,0,1,0,4,3.91,4,"BIO300",201901,3.9,818
"299","974a",0,0,0,0,0,0,2,2.79,2.29,"MATH100",201910,3.88,1005
"300","726a",1,0,1,0,0,0,3,3.56,3.99,"BIO300",201803,4.2,749
"301","1adc",1,1,0,0,0,0,3,2.92,2.69,"BIO300",201901,4.15,818
"302","6454",1,2,1,0,0,0,4,2.36,2.13,"MATH100",201901,4.03,575
"303","6071",1,0,1,0,0,0,2,3.37,3.53,"BIO300",201903,4.33,575
"304","6dcf",1,2,0,0,1,0,3,3.47,3.16,"BIO300",201701,3.78,624
"305","19aa",0,2,0,0,1,1,3,1.99,3.53,"MATH100",201703,3.56,537
"306","de4e",1,0,0,0,0,0,4,3.78,3.7,"BIO300",201701,4.31,624
"307","c6d7",0,0,0,0,0,0,3.7,3.1,3.14,"MATH100",201610,4.18,908
"308","c074",1,0,1,0,0,0,4,3.44,3.69,"EVOL305",201903,4.44,233
"309","53ce",0,2,0,0,0,0,3.3,3.33,3.48,"BIO300",201901,3.75,818
"310","8741",1,2,0,0,1,0,3.7,NA,4,"MATH100",201910,3.6,1005
"311","383e",0,0,1,0,1,0,1,2.36,2.98,"MATH100",201710,3.01,935
